128_A,52,89.0,23.0,0.0,10.0,23.0,2.0,2.0,0.0,5,7,8,2,6,1,3,4
128_B,28,44.0,16.0,0.0,3.0,16.0,3.0,2.0,0.0,5,7,6,2,8,1,4,3
128_C,35,58.0,19.0,0.0,3.0,19.0,3.0,2.0,0.0,6,7,2,8,5,3,1,4
128_E,5,11.0,1.0,0.0,1.0,1.0,2.0,1.0,1000008.0,7,2,6,5,4,8,1,3
129_A,24,40.0,11.0,0.0,5.0,11.0,2.0,1.0,0.0,5,6,2,7,8,1,3,4
12_C,46,71.0,23.0,0.0,3.0,23.0,3.0,1.0,0.0,7,6,8,5,1,2,3,4
12_D,21,35.0,12.0,0.0,2.0,12.0,2.0,1.0,0.0,6,7,8,5,2,1,4,3
12_E,17,28.0,9.0,0.0,3.0,9.0,3.0,2.0,0.0,8,7,2,6,5,1,3,4
131_B,23,40.0,13.0,0.0,3.0,13.0,3.0,1.0,0.0,8,7,6,5,1,2,4,3
131_C,20,31.0,11.0,0.0,3.0,11.0,3.0,1.0,0.0,7,6,5,2,8,1,4,3
131_D,16,26.0,8.0,0.0,3.0,8.0,3.0,1.0,0.0,5,7,8,2,1,6,4,3
131_E,5,11.0,1.0,0.0,1.0,1.0,2.0,1.0,100010.0,5,6,7,8,2,1,4,3
131_F,5,11.0,1.0,0.0,1.0,1.0,2.0,1.0,510.0,5,7,8,6,2,1,3,4
132_D,34,68.0,14.0,0.0,5.0,14.0,2.0,1.0,0.0,7,8,5,2,6,1,3,4
132_E,88,153.0,61.0,0.0,10.0,61.0,2.0,2.0,0.0,5,7,8,1,2,6,3,4
133_B,17,26.0,8.0,0.0,3.0,8.0,3.0,2.0,0.0,5,7,6,8,2,1,4,3
134_A,14,23.0,7.0,0.0,3.0,7.0,3.0,1.0,0.0,5,7,6,8,2,1,3,4
134_B,17,29.0,9.0,0.0,3.0,9.0,3.0,1.0,0.0,5,7,8,1,2,6,4,3
134_C,24,46.0,9.0,0.0,3.0,9.0,3.0,1.0,0.0,7,5,8,6,2,1,4,3
135_A,15,26.0,7.0,0.0,3.0,7.0,3.0,1.0,0.0,5,7,8,6,1,2,3,4
135_C,36,57.0,16.0,0.0,9.0,16.0,2.0,1.0,0.0,5,7,8,6,2,1,3,4
135_E,28,43.0,10.0,0.0,4.0,10.0,2.0,1.0,0.0,1,6,4,5,2,8,3,7
136_B,27,45.0,13.0,0.0,2.0,13.0,2.0,1.0,0.0,5,2,7,8,6,4,3,1
137_A,34,55.0,14.0,0.0,7.0,14.0,2.0,1.0,0.0,5,8,6,7,4,1,2,3
137_C,28,47.0,14.0,0.0,6.0,14.0,2.0,1.0,0.0,5,8,6,7,2,1,3,4
137_D,50,82.0,30.0,0.0,5.0,30.0,2.0,1.0,0.0,5,6,7,8,1,2,4,3
137_E,30,47.0,11.0,0.0,5.0,11.0,5.0,1.0,0.0,5,7,8,1,2,6,3,4
138_A,5,11.0,1.0,0.0,1.0,1.0,2.0,1.0,10400.0,6,5,8,7,1,2,4,3
138_B,17,32.0,7.0,0.0,3.0,7.0,2.0,1.0,0.0,5,6,7,8,1,2,3,4
138_C,43,82.0,20.0,0.0,5.0,20.0,1.0,2.0,0.0,6,5,7,8,1,2,3,4
138_D,44,71.0,22.0,0.0,5.0,22.0,2.0,2.0,0.0,5,6,7,8,1,2,4,3
138_E,16,29.0,10.0,0.0,2.0,10.0,2.0,3.0,0.0,6,5,8,1,7,2,4,3
139_A,14,24.0,7.0,0.0,2.0,7.0,2.0,1.0,0.0,5,6,8,1,2,4,7,3
